,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
22,0.573,0.247,5,-19.282,0,0.0627,0.713,5.64e-05,0.103,0.604,138.234,audio_features,3iFlfQ0CXc9URaAvai8VUe,spotify:track:3iFlfQ0CXc9URaAvai8VUe,https://api.spotify.com/v1/tracks/3iFlfQ0CXc9URaAvai8VUe,https://api.spotify.com/v1/audio-analysis/3iFlfQ0CXc9URaAvai8VUe,400447,4
23,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,audio_features,0E8q2Fx2XuzXCO2NSAppkR,spotify:track:0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/tracks/0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/audio-analysis/0E8q2Fx2XuzXCO2NSAppkR,255227,4
24,0.492,0.205,9,-8.488,0,0.0577,0.983,0.893,0.122,0.109,128.315,audio_features,6TAW00MAPvS59yEoIgtOEI,spotify:track:6TAW00MAPvS59yEoIgtOEI,https://api.spotify.com/v1/tracks/6TAW00MAPvS59yEoIgtOEI,https://api.spotify.com/v1/audio-analysis/6TAW00MAPvS59yEoIgtOEI,310055,4
25,0.468,0.391,2,-13.196,0,0.0269,0.658,0.0617,0.111,0.342,142.413,audio_features,1ChYuSIoOFDVY6fHSXF6zS,spotify:track:1ChYuSIoOFDVY6fHSXF6zS,https://api.spotify.com/v1/tracks/1ChYuSIoOFDVY6fHSXF6zS,https://api.spotify.com/v1/audio-analysis/1ChYuSIoOFDVY6fHSXF6zS,550493,4
26,0.33,0.0508,11,-22.43,1,0.033,0.988,0.0922,0.147,0.054,77.018,audio_features,6fBgbPzBpuBjIf4uEqAo4H,spotify:track:6fBgbPzBpuBjIf4uEqAo4H,https://api.spotify.com/v1/tracks/6fBgbPzBpuBjIf4uEqAo4H,https://api.spotify.com/v1/audio-analysis/6fBgbPzBpuBjIf4uEqAo4H,192867,3
27,0.487,0.535,8,-8.47,0,0.0305,0.73,0.00414,0.0903,0.591,144.548,audio_features,1duGF26RKaTntfsJ0cTkzj,spotify:track:1duGF26RKaTntfsJ0cTkzj,https://api.spotify.com/v1/tracks/1duGF26RKaTntfsJ0cTkzj,https://api.spotify.com/v1/audio-analysis/1duGF26RKaTntfsJ0cTkzj,379000,3
28,0.477,0.733,8,-8.301,1,0.0682,0.732,0.0756,0.153,0.385,120.42,audio_features,5z8eOnPiOC22EYpniAX3Qg,spotify:track:5z8eOnPiOC22EYpniAX3Qg,https://api.spotify.com/v1/tracks/5z8eOnPiOC22EYpniAX3Qg,https://api.spotify.com/v1/audio-analysis/5z8eOnPiOC22EYpniAX3Qg,368253,3
29,0.358,0.452,1,-13.02,1,0.0347,0.991,0.864,0.14,0.525,166.973,audio_features,0Otf1ZfYNIjhqFIuJk0fsy,spotify:track:0Otf1ZfYNIjhqFIuJk0fsy,https://api.spotify.com/v1/tracks/0Otf1ZfYNIjhqFIuJk0fsy,https://api.spotify.com/v1/audio-analysis/0Otf1ZfYNIjhqFIuJk0fsy,193867,4
30,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,audio_features,0ldmR2mJJNEoBIINfZWdv6,spotify:track:0ldmR2mJJNEoBIINfZWdv6,https://api.spotify.com/v1/tracks/0ldmR2mJJNEoBIINfZWdv6,https://api.spotify.com/v1/audio-analysis/0ldmR2mJJNEoBIINfZWdv6,190933,4
31,0.505,0.159,7,-11.235,0,0.0336,0.946,0.0127,0.212,0.196,59.385,audio_features,7ysmJhXFQtiBQlk6EZ6sks,spotify:track:7ysmJhXFQtiBQlk6EZ6sks,https://api.spotify.com/v1/tracks/7ysmJhXFQtiBQlk6EZ6sks,https://api.spotify.com/v1/audio-analysis/7ysmJhXFQtiBQlk6EZ6sks,295200,4
